Energy [MeV],N_Th,N_U,Total
1.81,0.0033970867146964293,0.004247090256658817,0.007644176971355246
1.825050505050505,0.007961732470564793,0.009932686728753446,0.017894419199318237
1.8401010101010102,0.01182858925350368,0.014695106530790977,0.026523695784294657
1.8551515151515152,0.013233404788241055,0.0166378592001734,0.029871263988414457
1.8702020202020202,0.01646401104896959,0.02051836738833391,0.036982378437303495
1.8852525252525254,0.01915159851947407,0.023912541836059696,0.04306414035553377
1.9003030303030304,0.01896753900951657,0.02283743229904514,0.041804971308561714
1.9153535353535354,0.02372631400846872,0.028340444453348285,0.052066758461817006
1.9304040404040403,0.02244571491363495,0.027302130252872175,0.049747845166507126
1.9454545454545455,0.025594864937864,0.03187030129072825,0.057465166228592254
1.9605050505050505,0.028259008707485957,0.03526037143257517,0.06351938014006113
1.9755555555555555,0.027659377229545756,0.03495908425335936,0.06261846148290512
1.9906060606060607,0.032269243807512206,0.040622290733872884,0.07289153454138508
2.0056565656565657,0.02952588570196664,0.037857155385560094,0.06738304108752674
2.0207070707070707,0.035590593996587615,0.04529138092838654,0.08088197492497415
2.0357575757575757,0.033103096290724845,0.042850589861013796,0.07595368615173864
2.0508080808080806,0.03914171973022235,0.05037424439760453,0.08951596412782689
2.065858585858586,0.035818396379242334,0.04694101711905832,0.08275941349830065
2.080909090909091,0.03509116268529789,0.05345054796427716,0.08854171064957506
2.095959595959596,0.03353137815707756,0.05174333845079824,0.0852747166078758
2.111010101010101,0.03876082019158284,0.059523838220970744,0.09828465841255359
2.126060606060606,0.034998516557317214,0.054669366277051636,0.08966788283436886
2.141111111111111,0.03953777706280087,0.06159506545381376,0.10113284251661464
2.156161616161616,0.036190484464973464,0.05728277039256436,0.09347325485753782
2.1712121212121214,0.040852417388218494,0.06447007822137402,0.1053224956095925
2.1862626262626264,0.03729913174249491,0.05992511486609343,0.09722424660858833
2.2013131313131313,0.04327112484621552,0.06909351564826607,0.1123646404944816
2.2163636363636363,0.03969777022336528,0.06441323546334225,0.10411100568670753
2.2314141414141413,0.04313232142912438,0.07002865150704324,0.11316097293616761
2.2464646464646463,0.041870824350705084,0.06878918511889903,0.11066000946960411
2.2615151515151517,0.0,0.06692125486528368,0.06692125486528368
2.2765656565656567,0.0,0.014534367044899374,0.014534367044899374
2.2916161616161617,0.0,0.013227319964367391,0.013227319964367391
2.3066666666666666,0.0,0.01501457255492216,0.01501457255492216
2.3217171717171716,0.0,0.014582443384389233,0.014582443384389233
2.3367676767676766,0.0,0.015340542525270128,0.015340542525270128
2.3518181818181816,0.0,0.016397399442201022,0.016397399442201022
2.366868686868687,0.0,0.015499844425627272,0.015499844425627272
2.381919191919192,0.0,0.017657510551329587,0.017657510551329587
2.396969696969697,0.0,0.01660985437185009,0.01660985437185009
2.412020202020202,0.0,0.017480950675470883,0.017480950675470883
2.427070707070707,0.0,0.01891601356954365,0.01891601356954365
2.4421212121212124,0.0,0.017622610532799655,0.017622610532799655
2.4571717171717173,0.0,0.018938401088465683,0.018938401088465683
2.4722222222222223,0.0,0.02004118158330562,0.02004118158330562
2.4872727272727273,0.0,0.018704901410842113,0.018704901410842113
2.5023232323232323,0.0,0.02106881195568468,0.02106881195568468
2.5173737373737373,0.0,0.020785141469327063,0.020785141469327063
2.5324242424242422,0.0,0.019881477805588046,0.019881477805588046
2.5474747474747472,0.0,0.022662156815716906,0.022662156815716906
2.562525252525252,0.0,0.021957521217528912,0.021957521217528912
2.5775757575757576,0.0,0.02117963680459382,0.02117963680459382
2.5926262626262626,0.0,0.023903287195417452,0.023903287195417452
2.6076767676767676,0.0,0.023187627225561207,0.023187627225561207
2.6227272727272726,0.0,0.02230350703730457,0.02230350703730457
2.637777777777778,0.0,0.02469717256087827,0.02469717256087827
2.652828282828283,0.0,0.024888550155322327,0.024888550155322327
2.667878787878788,0.0,0.022943979794620702,0.022943979794620702
2.682929292929293,0.0,0.025403160331521846,0.025403160331521846
2.697979797979798,0.0,0.026518974946747074,0.026518974946747074
2.713030303030303,0.0,0.024435607465763454,0.024435607465763454
2.728080808080808,0.0,0.02529520854083964,0.02529520854083964
2.743131313131313,0.0,0.02735830203639806,0.02735830203639806
2.758181818181818,0.0,0.02589127673257788,0.02589127673257788
2.7732323232323233,0.0,0.02512760158575358,0.02512760158575358
2.7882828282828283,0.0,0.027091802756805134,0.027091802756805134
2.8033333333333332,0.0,0.028177538353852855,0.028177538353852855
2.818383838383838,0.0,0.025928932061747408,0.025928932061747408
2.8334343434343436,0.0,0.026351678388775997,0.026351678388775997
2.8484848484848486,0.0,0.028734524641151317,0.028734524641151317
2.8635353535353536,0.0,0.02810680497846828,0.02810680497846828
2.8785858585858586,0.0,0.026385690633466474,0.026385690633466474
2.8936363636363636,0.0,0.027958033878705844,0.027958033878705844
2.9086868686868685,0.0,0.02947717198304395,0.02947717198304395
2.9237373737373735,0.0,0.02838792901977003,0.02838792901977003
2.9387878787878785,0.0,0.026336767399634524,0.026336767399634524
2.9538383838383835,0.0,0.028508071009714614,0.028508071009714614
2.9688888888888885,0.0,0.02992443779379626,0.02992443779379626
2.983939393939394,0.0,0.02842591415785168,0.02842591415785168
2.998989898989899,0.0,0.02681965230915742,0.02681965230915742
3.014040404040404,0.0,0.028421386928172285,0.028421386928172285
3.0290909090909093,0.0,0.029610192536227903,0.029610192536227903
3.0441414141414143,0.0,0.028275088295351743,0.028275088295351743
3.0591919191919192,0.0,0.026921624198089883,0.026921624198089883
3.074242424242424,0.0,0.027150223169898742,0.027150223169898742
