Energy [MeV],N_Th,N_U,Total
1.81,0.003769120278120612,0.00465538021928502,0.008424500497405632
1.825050505050505,0.008441096802968397,0.010459235644825135,0.01890033244779353
1.8401010101010102,0.011585608549596931,0.014401877292282397,0.025987485841879328
1.8551515151515152,0.014267446451328405,0.01779276515240658,0.032060211603734984
1.8702020202020202,0.01670656177239307,0.0207745331977169,0.03748109497010997
1.8852525252525254,0.019010878659213325,0.02372169160383023,0.04273257026304356
1.9003030303030304,0.02119200909316959,0.025205174798278412,0.04639718389144801
1.9153535353535354,0.023274534334505458,0.02781636846407853,0.051090902798583984
1.9304040404040403,0.025289679113376085,0.030375681941500473,0.05566536105487656
1.9454545454545455,0.026513721974819552,0.03286060586425218,0.05937432783907173
1.9605050505050505,0.028299050762025053,0.035254478169057635,0.06355352893108268
1.9755555555555555,0.03000965077933232,0.037582889635815256,0.06759254041514758
1.9906060606060607,0.03172549216534985,0.039945838517100735,0.07167133068245059
2.0056565656565657,0.033371397273999924,0.042250886760355204,0.07562228403435513
2.0207070707070707,0.034978242454074306,0.04453636080854585,0.07951460326262016
2.0357575757575757,0.03654262970141237,0.046799611056814724,0.0833422407582271
2.0508080808080806,0.03803649811713009,0.049010478822167206,0.0870469769392973
2.065858585858586,0.03949936463094345,0.051209695785288424,0.09070906041623188
2.080909090909091,0.03504648366384645,0.053328383978536155,0.08837486764238262
2.095959595959596,0.03620938994595119,0.055389453029486446,0.09159884297543763
2.111010101010101,0.03731944732326323,0.05740415520068437,0.0947236025239476
2.126060606060606,0.038328528952776476,0.05929762876942884,0.09762615772220531
2.141111111111111,0.03916851555863188,0.06096931388012242,0.1001378294387543
2.156161616161616,0.039932719648547665,0.06255533324807062,0.10248805289661829
2.1712121212121214,0.04073238367045145,0.06421920021979964,0.10495158389025108
2.1862626262626264,0.041480022068608915,0.06582953620630126,0.10730955827491018
2.2013131313131313,0.04214664098227614,0.0673390275492915,0.10948566853156763
2.2163636363636363,0.04275332263621337,0.06879333829794983,0.1115466609341632
2.2314141414141413,0.043286800204652594,0.07016938610971653,0.11345618631436913
2.2464646464646463,0.04375063316618571,0.07147444179767212,0.11522507496385784
2.2615151515151517,0.0,0.07260808671582215,0.07260808671582215
2.2765656565656567,0.0,0.014036112214047384,0.014036112214047384
2.2916161616161617,0.0,0.014523138029020565,0.014523138029020565
2.3066666666666666,0.0,0.015006520915316278,0.015006520915316278
2.3217171717171716,0.0,0.015483548566874143,0.015483548566874143
2.3367676767676766,0.0,0.01595686604028948,0.01595686604028948
2.3518181818181816,0.0,0.016430309194462075,0.016430309194462075
2.366868686868687,0.0,0.016904777802026587,0.016904777802026587
2.381919191919192,0.0,0.01737646049029921,0.01737646049029921
2.396969696969697,0.0,0.01784807652961146,0.01784807652961146
2.412020202020202,0.0,0.018292177656404413,0.018292177656404413
2.427070707070707,0.0,0.01873113849481517,0.01873113849481517
2.4421212121212124,0.0,0.01917107140419356,0.01917107140419356
2.4571717171717173,0.0,0.019618570373696465,0.019618570373696465
2.4722222222222223,0.0,0.020088522104030716,0.020088522104030716
2.4872727272727273,0.0,0.02053877929716323,0.02053877929716323
2.5023232323232323,0.0,0.02096758646605481,0.02096758646605481
2.5173737373737373,0.0,0.02148912050935962,0.02148912050935962
2.5324242424242422,0.0,0.021925233800011847,0.021925233800011847
2.5474747474747472,0.0,0.022345283905356752,0.022345283905356752
2.562525252525252,0.0,0.022786441524213233,0.022786441524213233
2.5775757575757576,0.0,0.02320245538417717,0.02320245538417717
2.5926262626262626,0.0,0.02362123478379719,0.02362123478379719
2.6076767676767676,0.0,0.02404397455676614,0.02404397455676614
2.6227272727272726,0.0,0.024456104771322196,0.024456104771322196
2.637777777777778,0.0,0.02482214264858629,0.02482214264858629
2.652828282828283,0.0,0.025202325980766466,0.025202325980766466
2.667878787878788,0.0,0.02553635185355082,0.02553635185355082
2.682929292929293,0.0,0.025892428829276337,0.025892428829276337
2.697979797979798,0.0,0.026216647114258786,0.026216647114258786
2.713030303030303,0.0,0.02650246816236591,0.02650246816236591
2.728080808080808,0.0,0.026807657709520552,0.026807657709520552
2.743131313131313,0.0,0.027080061017599383,0.027080061017599383
2.758181818181818,0.0,0.027360735000728678,0.027360735000728678
2.7732323232323233,0.0,0.027589147771270917,0.027589147771270917
2.7882828282828283,0.0,0.027821507947911644,0.027821507947911644
2.8033333333333332,0.0,0.02805350695819255,0.02805350695819255
2.818383838383838,0.0,0.028308127122757737,0.028308127122757737
2.8334343434343436,0.0,0.0284991836212963,0.0284991836212963
2.8484848484848486,0.0,0.028680768851416866,0.028680768851416866
2.8635353535353536,0.0,0.02884444582023692,0.02884444582023692
2.8785858585858586,0.0,0.029024027489118972,0.029024027489118972
2.8936363636363636,0.0,0.029152407139312855,0.029152407139312855
2.9086868686868685,0.0,0.029293899882157276,0.029293899882157276
2.9237373737373735,0.0,0.029382395217123533,0.029382395217123533
2.9387878787878785,0.0,0.02948115527569068,0.02948115527569068
2.9538383838383835,0.0,0.029561905886465945,0.029561905886465945
2.9688888888888885,0.0,0.02962536133845955,0.02962536133845955
2.983939393939394,0.0,0.029606084593365216,0.029606084593365216
2.998989898989899,0.0,0.029616419529064648,0.029616419529064648
3.014040404040404,0.0,0.029629267717314584,0.029629267717314584
3.0290909090909093,0.0,0.02959691410166401,0.02959691410166401
3.0441414141414143,0.0,0.029533384663791518,0.029533384663791518
3.0591919191919192,0.0,0.029429639179716142,0.029429639179716142
3.074242424242424,0.0,0.0293006837638295,0.0293006837638295
